id_review_main,review_rating,review_text
review_87,4,"ร้านบรรยากาศชิวๆ นั่งทำงานได้สบายๆ
แต่วิปครีมสูงไปมั้ยยย 🤣"
review_87,5,กาแฟอร่อยมากขนมเค้กก็อร่อยเวอร์วัง ร้านก็ตกแต่งสวยสะอาดสะอ้าน แนะนำร้านกาแฟร้านนี้เลยครับ
review_87,5,เมนูเครื่องดื่มขนมและของหวานมีให้เลือกหลากหลาย แอร์เย็น ห้องน้ำสะอาด
review_87,5,บรรยากาศดี เครื่องดื่มอร่อย เหมาะสำหรับชวนเพื่อนมานั่งเล่นชิลๆ
review_87,5,ร้านตกแต่งน่ารัก กาแฟอร่อย มีเมนูของหวานให้เลือกเยอะแยะมากมาย แถมพี่พนักงานกับเจ้าของร้านก็อัธยาศัยดี บริการดี แนะนำสำหรับคนที่อยากจะมานั่งชิวๆ นั่งเล่น หรือมานั่งทำงาน ที่นี่เหมาะมากจริงๆค่ะ😊 …
review_87,3,อยากให้ลดวิปครีมในบิงซูหน่อยครับ วิปครีมเยอะมากกกก เยอะกว่าตัวบิงซูอีก แล้วเพิ่มปริมาณบิงซูแทน
review_87,5,พนักงานน่ารัก บริการดี เป็นกันเอง เครื่องดื่มอร่อย
review_87,5,กาแฟอร่อย ร้านนั่งซิล
review_87,5,กาแฟอร่อย
review_87,1,พนักงานพูดจาไม่สุภาพ
review_87,5,"-เป็นสถานที่ที่ดีสำหรับคนทำงานที่ต้องการ wifi
-มีเครื่องดื่มและบิงซูให้เลือกหลากหลาย
-ราคาเริ่มต้นที่ 50(เดานะ)
- ฉันได้ Matcha Latte เย็นในราคา 70"
review_87,5,positive
review_89,5,ร้านบรรยากาศดี ธรรมชาติเน้นๆ มุมถ่ายรูปเพียบ มีที่นั่งทั้ง Indoor และ Outdoor อาหารอร่อย หลากหลาย มีดนตรี ราคาไม่เบา และเสียตรงที่รออาหารค่อนข้างนาน
review_89,5,คาเฟ่บรรยากาศดี ร่มรื่นต้นไม้เยอะ ที่จอดรถเยอะ มีโซนห้องแอร์กับข้างนอก มีเมนูทั้งอาหารคาวและอาหารหวาน ครั้งนี้มาทานบิงซู กับกาแฟเอสเพรสโซ่ รสชาติดีทั้งสองอย่าง ราคาไม่แพง พนักงานบริการดีมากประทับใจ
review_89,5,รสชาติอาหารทุกอย่างที่สั่งมาวันนี้ค่อนข้างอร่อยเลยค่ะ บรรยากาศในร้านก็ฟิวสวนสวยมากๆ ร่มรื่นค่ะ เหมาะกับพาครอบครัวมาทาน
review_89,5,บรรยากาศยามค่ำคืนดีที่นี่กับการนั่งรับประทานอาหารและเครื่องดื่มเย็นๆ ฟังโฟลคซอง จิบไวน์ หรือ เบียร์สดเย็นๆ ได้ กับกุ้งเผาหวานๆ อ่อ ชาหอมหมื่นลี้ที่นี่หอมมาก คู่ควรแก่การลิ้มลอง บรรยากาศร่มรื่น มีต้นไม้ใหญ่ มีน้ำตก บ่อปลาใส เพลงสากลเพราะ
review_89,5,อาหารราคาไม่แรงมากจนเกินไป รสชาติดีค่ะ ที่จอดรถเยอะ บรรยากาศพอได้นะคะ คิดว่าไปทานข้าวเหมาะค่ะ แต่ถ้านั่งชิวกินบารยากาศยังไม่ถึงขนาดนั้นค่ะ
review_89,5,โซน Outdoor เป็น Pet Friendly นำสัตว์เลี้ยงมาได้ อาหารอร่อย ช่วงกลางวันคนค่อนข้างเยอะอาจจะรอนานเล็กน้อย
review_89,5,ให้ความสดชื่นด้วยสวนไม้ประดับ ฮิลใจกับธรรมชาติที่จัดสรรค์ได้อย่างลงตัว มีทั้งกาแฟ อาหาร เครื่องดื่ม บรรยากาศร่มรื่น สีเขียวสบายตา และที่ผมชอบ กาแฟอร่อยมากๆครับ😘😘
review_89,4,"บรรยากาศดีสุดๆ อารมณ์แบบเหมือคาเฟ่ดังเลย
ส่วนเครื่องดื่มกับผัดไทรสชาติคิดว่ากลางๆไม่ได้ว้าวแต่ก็โอเค"
review_89,1,มาตามหม่อมเลยคับ แต่ได้รับประสบการณ์ที่ไม่ดี เด็กเสิร์ฟห่วยแตก โต๊ะอื่นมาที่หลังได้น้ำก่อนงี๊ เสิร์ฟสลัดผิดโต๊ะให้โต๊ะอื่น อาหารมาครบแล้วข้าวที่สั่งก็ไม่มีมาไม่เข้าใจ ผิดหวัง อาหารเฉยๆ กุ้งกระเทียมผมว่าไม่สด แต่จ๊อปูอร่อยครับชอบ ทานกับข้่าวสวยดีเลย
review_89,5,ร้านร่มรื่น เสียงน้ำตกพาให้สดชื่น เค้กอร่อย พนง.บริการดี ที่จอดรถร่มดี
review_89,5,"บรรยากาศร้านอาหารดีมากๆมีต้นไม้เขียวๆเยอะดีค่ะมีน้ำตกและจุดถ่ายรูปเยอะด้วย ภายในร้านอาหารแบ่งโซนนั่งด้านในจัดแต่งร้านได้สวยงามน่านั่งแอร์เย็นสบายเราเลือกนั่งโซนด้านในและด้านนอกติดโซนต้นไม้และน้ำตกชมเพลินๆระหว่างทานอาหารได้เลย อาหารรสชาติอร่อยถูกใจมาก   วันนี้สั่งเมี่ยงมีไม้ จัดเรียงกุ้งย่าง ปลาลวกและหมูกรอบน้ำจิ้ม3รสชาติและผักเคียงอีกเยอะทานคู่กับหมี่ยกนิ้วให้เลยค่ะ อีกจานเป็นข้าวผัดน้ำพริกปลาทู ปลาทูตัวใหญ่ๆแกะก้างมาให้ ทานกับ น้ำพริกกะปิ ผักลวกและผักสดอร่อยจัดจ้าน จานสุดท้ายเป็นสปาเก็ตตี้เบคอนพริกแห้ง ทานตอนร้อนๆไม่เลี่ยนค่ะอร่อยๆเบคอนจัดมาให้เยอะมากๆ ตอนแรกตั้งใจจะทานของหวานเป็นบิงซูด้วยแต่ไม่ไหวอิ่มมากๆ ไว้มารอบหน้านะคะ😝😝😝😝😝
#oumumiko"
review_89,5,ถ้ามาตอนเช้าหรือเย็นน่าจะดี  บรรยากาศในสวนสวยๆ แต่พอดีมาถึงค่ำไปหน่อย  กลางคืนทานอาหารข้างนอก มียุง กลางคืนมีดนตรีสดพนักงานบริการดี  อาหารราคาแรงนิดนึงครับ คต้องมาหลายคนจะได้ทานหลายๆอย่าง   แต่ความสดวัตถุดิบของอาหารใช้ได้เลยครับ
review_89,4,บรรยากาศดีมากเลยค่ะ ต้นไม้สวย จัดสวนสวย มีปลาช่อนอเมซอน ลูกชอบมากค่ะ จัดโต๊ะและบริเวณรอบๆได้สวยงาม อาหารไม่ได้ทาน เข้ามาแวะชิมโกโก้ปั่น จืดไปหน่อยค่ะ แต่โกโก้สตรอเบอร์รี่ไม่โอเคเลย วันนี้แวะมาเช็คอินหลังลูกเลิกเรียนพอดี ที่จอดรถเยอะดีค่ะ
review_89,5,อาหารจัดจานสวย สถานที่สวยงามมาก อลังการด้วยปลาน้ำจืดพันธ์ยักราคาแพงรสชาติไปทางจืด ราคาค่อนข้างสู๊งงงงง เปิดเหล้าเสีย200 /ขวด  โซดาวันเวย์ขวดละ30 ไม่มีบริการคอยเสริฟน้ำชงเหล้าเพราะให้ลูกค้ามีความเป็นส่วนตัว(ลูกค้าต้องยกมือเรียกน้องจะยืนรออยู่หน้าเคาท์เตอร์เป็นกลุ่มก้อน) ขนม+น้ำมีเยอะหลากหลายครบทุกแนว อันนี้ชมเชยค่ะ ร้านสวยอลังการชมเชย  นักดนตรี ร้องเพลงไม่พักเลย ดูทำงานคุ้มค่ามาก ร้องเพลงฉะฉายฟังง่าย ถูกใจแค่3อย่างนี้ค่ะ
review_89,4,มาตามรีวิวหม่อมจร้า มาลองกินกุ้งดู กับข้าวก็โอเคอยู่ครับ แต่เข้ามาลึกอยู่ ร้านใหญ่โอ่โถง บรรยากาศร่มรื่นครับ
review_89,4,ไปวันแม่ อาหารช้า มากกก พนักงานพยายามบริการอยู่แต่ก็วุ่นวาย ลืมของบ่อย บรรยากาศร้านดี อาหาราคาสูง รู้สึกไม่คุ้มค่า อยากให้ปริมาณ และวัตถุดิบ ดีขึ้นกว่านี้ ✌🏻✌🏻
review_89,2,การบริการช้ามากและแย่มาก สั่งบิงชูกับฮันนี่โทสต์ไปรอเกือบชั่วโมง อีกอย่างแคชเชีย มองลูกค้าสายตาเหยียดหยาม สายตาแบบดูถูกลูกค้ามาก พูดจาก็ไม่เพราะ อาหารอร่อย ร้านจัดสวยมาก แต่พนักงานไม่ผ่าน
review_89,5,บรรยากาศร่มรื่น ที่จอดรถเพียบ  พนักงานดูแลดีมาก  สถานที่กว้างน่านั่ง เหมาะกับครอบครัวนั่งคุยสบายๆ  ในร้านเป็นคาเฟ่ และร้านอาหาร มีเมนูให้เลือก และมีแบบจัดเซท 4 รายการราคาไม่แพง  // รสชาติอาหารอร่อยค่ะ
review_89,4,"ร้านบรรยากาศดี ต้นไม้เยอะ ธรรมชาติ ร่มรื่น อาหารอร่อย แต่คั่วไก่เส้นเละไปหน่อย เมนูอื่นดีหมด มัจฉะคาราเมลอร่อย หวานกำลังดี แต่ผงมัจฉะ นอนก้น
โดยรวมดีเลย ที่นั่งมีทั้งแอร์และนอกแอร์ ที่จอดรถมีเยอะมาก"
review_89,4,เด็กเสิร์ฟเยอะ แต่ว่าลืมบ่อย สั่่งไปแล้วหายตเองไปตามบ่อย อาหารเลยออกช้า อาหารติดรสหวานไปนิด ยำวุ้นเส้นอร่อย โดยรวมใช้ได้ สวนและงานต้นไม้สวย มีปลาอัลลิเกเตอร์ ตัวใหญ่สวยมากค่ะ
review_89,4,ร้านอาหารแนวคาเฟ่ กลางวันจะเน้นไปทางคาเฟ่มีกาแฟและขนมหวาน กลางคืนจะเน้นไปทางร้านอาหารมีดนตรีสดเครื่องดื่มแอลกอฮอล์ อาหารรสชาติกลางๆราคาค่อนข้างสูงปริมาณอาหารน้อยเมื่อเทียบกับราคา ควรปรับปรุงด้านการบริการเด็กเสิร์ฟไม่สามารถให้ข้อมูลได้และทำหน้าเหมือนไม่เต็มใจในการบริการ มีที่จอดรถสะดวก
review_89,1,"1.บรรยากาศดี สวยงาม
2.พนักงาน แข็งกระด้าง ลืมออเดอร์
3.อาหาร รอนาน 45นาที รสชาติธรรมดา
4.ของหวาน ฮันนี่โทสเนยไม่เข้ากับขนมปัง ขนมปังแข็งสากมาก
5.ความคุ้มค่า ราคาแพงไปเมื่อเทียบกับรสชาติ"
review_89,5,"14 กุมภาพันธ์ 2567

ร้านบรรยากาศดี ที่จอดรถเยอะ
อาหารรสชาติดี
พนักงานบริการดี
ห้องน้ำสะอาด

ทานครบ 499 หรือทานเมนูมูเตลูครบ 299 ได้ดูดวงฟรี ถามคำถามได้ 3 ข้อ"
review_89,5,รสชาติอาหารก็โอเคค่ะ กาแฟกลางๆ ไม่ได้เข้มมาก ส่วนโกโก้โฟลต รสชาติไม่เข้มเท่าไหร่ค่ะ โดยรวมก็ถือว่าโอเคค่ะ น้องปลาตัวใหญ่มาก บรรยากาศดีค่ะ ราคาไม่แพงมากค่ะ
review_89,5,"บรรยากาศ : ร้านสวย ร่มรื่น  สามารถนั่งได้ทั้งOutdoor และส่วนที่มีแอร์  มีน้ำตกมีปลาให้ดู มีมุมถ่ายรูป มีที่จอดรถแต่ไม่มีร่ม
อาหาร : อาหารออกเร็วทันใจ เครื่องดื่มดีมาก  อาหารอร่อย  ได้ลองก๋วยเตี๋ยวคั่วไก่  อร่อยมากๆๆ แนะนำเลย
การบริการ : พนักงานบริการดี
สรุป : คาดว่าจะกลับมาอีกในรอบหน้า"
